sample_index,pm25_pred,pm25_claimed,aqi_pred,aqi_claimed,category_pred,category_claimed,h1_number_match,h2_aqi_match,h3_category_ok,h4_feature_ok,h5_range_ok,h6_confidence_low,fabricated_features,out_of_range_values,avg_logprob,is_hallucination,notes
0,106.94701385498047,106.947,178,178,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.06286236580188681,False,
1,67.68206024169922,67.6821,157,157,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.017379143901846625,False,
2,56.06834030151367,56.0683,151,151,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.009065240763482594,False,
3,30.563499450683594,30.5635,90,90,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.07455312906608094,False,
4,56.01084518432617,56.0108,151,151,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.10809418114017597,False,
5,28.752880096435547,28.7529,86,86,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.06828004376046241,False,
6,23.2877140045166,23.2877,75,75,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.054361828651867415,False,
7,32.415531158447266,32.4155,94,94,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.06570487652542227,False,
8,24.417884826660156,24.4179,77,77,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.03169957563647481,False,
9,26.71749496459961,26.7175,82,82,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.07040232259394794,False,
10,29.598737716674805,29.5987,88,88,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.04202097006997124,False,
11,28.628910064697266,28.6289,86,86,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.04617585351721185,False,
12,29.96974754333496,29.9697,89,89,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.025098945688584756,False,
13,48.63805389404297,48.6381,133,133,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,True,True,True,True,False,[],[],-0.05030937653941077,False,
14,67.05115509033203,67.0512,157,157,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.05916946132977804,False,
15,72.65604400634766,72.656,160,160,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.0882603930988053,False,
16,84.50450134277344,84.5045,166,166,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.09089901610942823,False,
17,117.7664794921875,117.7665,183,183,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.040882479043110556,False,
18,148.1513214111328,148.1513,199,199,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.030729670710158797,False,
19,170.98202514648438,170.982,221,221,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.09132464248086175,False,
20,170.29010009765625,170.2901,221,221,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.12378689870238305,False,
21,169.3491973876953,169.3492,220,220,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.11441111211049354,False,
22,167.66452026367188,167.6645,218,218,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.10354779957462165,False,
23,139.56854248046875,139.5685,194,194,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.007158465121152266,False,
24,165.75479125976562,165.7548,216,216,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.05463628874185982,False,
25,184.6373291015625,184.6373,235,235,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.0673146868745486,False,
26,86.21331787109375,86.2133,167,167,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.005477773859387352,False,
27,116.03746032714844,116.0375,182,182,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.03706454963616605,False,
28,106.33627319335938,106.3363,177,177,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.05201410618813142,False,
29,97.83415222167969,97.8342,173,173,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.03914718791132882,False,
30,92.79821014404297,92.7982,170,170,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.05353158999953354,False,
31,132.71580505371094,132.7158,191,191,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.0446977991124858,False,
32,120.96965789794922,120.9697,185,185,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.04957739568274954,False,
33,127.07987213134766,127.0799,188,188,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.0742968251928687,False,
34,148.8660430908203,148.866,199,199,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.008123948389575595,False,
35,166.59999084472656,166.6,217,217,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.08374884239303956,False,
36,171.0994415283203,171.0994,221,221,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.06432133064501816,False,
37,197.4715576171875,197.4716,248,248,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.05535661157058633,False,
38,242.17779541015625,242.1778,292,292,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.08920259002981515,False,
39,223.9497833251953,223.9498,274,274,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.07258673634277571,False,
40,239.29335021972656,239.2934,289,289,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.07520573340151288,False,
41,268.68646240234375,268.6865,315,315,Hazardous,Hazardous,True,True,True,True,True,False,[],[],-0.08713665386525596,False,
42,254.01605224609375,254.0161,304,304,Hazardous,Hazardous,True,True,True,True,True,False,[],[],-0.06742119715186476,False,
43,204.59469604492188,204.5947,255,255,Very Unhealthy,Very Unhealthy,True,True,True,True,True,False,[],[],-0.045490795309128966,False,
44,130.05650329589844,130.0565,189,189,Unhealthy,Unhealthy,True,True,True,True,True,False,[],[],-0.048781526477440544,False,
45,14.639947891235352,14.6399,56,56,Moderate,Moderate,True,True,True,True,True,False,[],[],-0.06612411783291744,False,
