step,candidate,relevance,redundancy,score,selected_so_far
1,pm25,1.6102230759997713,0.0,1.6102230759997713,
1,dew,0.17213717181169486,0.0,0.17213717181169486,
1,temp,0.06836044001294894,0.0,0.06836044001294894,
1,pressure,0.08868642022889972,0.0,0.08868642022889972,
1,wind,0.13172663768597204,0.0,0.13172663768597204,
1,[CHOSEN] pm25,1.6102230759997713,,1.6102230759997713,pm25
2,dew,0.17213717181169486,0.17485392657444657,0.9844627123883448,pm25
2,temp,0.06836044001294894,0.07813527537312288,0.87489855013124,pm25
2,pressure,0.08868642022889972,0.05739122322366708,1.545295843198394,pm25
2,wind,0.13172663768597204,0.24304910523605225,0.5419754045836216,pm25
2,[CHOSEN] pressure,0.08868642022889972,,1.545295843198394,"pm25,pressure"
3,dew,0.17213717181169486,0.47659323935401054,0.3611825708728735,"pm25,pressure"
3,temp,0.06836044001294894,0.45240945876647976,0.15110302964981004,"pm25,pressure"
3,wind,0.13172663768597204,0.21413845190759817,0.6151470504123459,"pm25,pressure"
3,[CHOSEN] wind,0.13172663768597204,,0.6151470504123459,"pm25,pressure,wind"
